"","Store #","Address 1","City","fixedState","zip","fullAddress","StateInOrigFile"
"109",668,"558 W KENTUCKY BLVD","LA CENTER","KY",42056,"558 W Kentucky Dr, La Center, KY 42056","KY"
"110",671,"513 S MAIN ST STE 102","SPRINGHILL","LA",71075,"513 S Main St, Springhill, LA 71075","LA"
"111",672,"3155 HILL RD","DRESDEN","OH",43821,"3155 Hill Rd, Dresden, OH 43821","TN"
"112",678,"100 HIGHWAY 27","VICKSBURG","MS",39180,"100 MS-27, Vicksburg, MS 39180","MS"
"113",689,"802 E ADAMS AVE","TEMPLE","TX",76501,"802 E Adams Ave, Temple, TX 76501","TX"
"114",697,"300 N. ROBINSON DR.","ROBINSON","TX",76706,"300 N Robinson Dr, Robinson, TX 76706","TX"
"115",698,"4064 CENTER ST","HYNDMAN","PA",15545,"4064 Center St, Hyndman, PA 15545","PA"
"116",700,"4225 HWY 411","MADISONVILLE","TN",37354,"4225 Highway 411, Madisonville, TN 37354","TN"
"117",710,"1627 LOTT RD","EIGHT MILE","AL",36613,"1627 Lott Rd, Eight Mile, AL 36613","AL"
"118",721,"1290 S WASHINGTON ST","MARION","IN",46953,"1290 S Washington St, Marion, IN 46953","IN"
"119",730,"207 SARALAND BLVD N","SARALAND","AL",36571,"207 Saraland Blvd N, Saraland, AL 36571","AL"
"120",731,"3015 E RACE AVE","SEARCY","AR",72143,"3015 E Race Ave, Searcy, AR 72143","AR"
"121",738,"398 BARROW AVE SW","PELHAM","GA",31779,"398 Barrow Ave SW, Pelham, GA 31779","GA"
"122",745,"2207 N WEST AVE","EL DORADO","AR",71730,"2207 N West Ave, El Dorado, AR 71730","AR"
"123",750,"5300 DAVIS BLVD","NORTH RICHLAND HILLS","TX",76180,"5300 Davis Blvd, North Richland Hills, TX 76180","TX"
"124",759,"175 ARLINGTON ST","MORGAN CITY","LA",70380,"175 Arlington St, Morgan City, LA 70380","LA"
"125",762,"2305 S COMMERCIAL AVE","COLEMAN","TX",76834,"2305 S Commercial Ave, Coleman, TX 76834","TX"
"126",775,"7830 HWY 61","SAINT FRANCISVILLE","LA",70775,"7830 US-61, St Francisville, LA 70775","LA"
"127",779,"670 E ARCADIA AVE","DAWSON SPRINGS","KY",42408,"670 E Arcadia Ave, Dawson Springs, KY 42408","KY"
"128",780,"188 W CLINTON ST","GRAY","GA",31032,"188 W Clinton St, Gray, GA 31032","GA"
"129",782,"5900 E JOHNSON AVE","JONESBORO","AR",72401,"5900 E Johnson Ave, Jonesboro, AR 72401","AR"
"130",787,"401 S RICHARDSON ST","LATTA","SC",29565,"401 S Richardson St, Latta, SC 29565","SC"
"131",800,"11067 MILLARDEN RD","WOODBURY","GA",30293,"11067 Millarden Rd, Woodbury, GA 30293","GA"
"132",802,"2225 S WASHINGTON ST","KAUFMAN","TX",75142,"2225 S Washington St, Kaufman, TX 75142","TX"
"133",817,"5000 LIBRARY RD","BETHEL PARK","PA",15102,"5000 Library Rd, Bethel Park, PA 15102","PA"
"134",821,"2430 WESTINGHOUSE BLVD","CHARLOTTE","NC",28273,"2430 Westinghouse Blvd, Charlotte, NC 28273","NC"
"135",830,"403 W CLAYTON ST","DAYTON","TX",77535,"403 W Clayton St, Dayton, TX 77535","TN"
"136",831,"4305 FM 517 RD E","DICKINSON","TX",77539,"4305 FM 517 Rd E, Dickinson, TX 77539","TX"
"137",844,"817 E 15TH ST","JOPLIN","MO",64804,"817 E 15th St, Joplin, MO 64804","MO"
"138",845,"115 N ELM ST","ADEL","GA",31620,"115 N Elm St, Adel, GA 31620","GA"
"139",851,"907 MARIANNA HWY","DONALSONVILLE","GA",39845,"907 Marianna Hwy, Donalsonville, GA 39845","GA"
"140",861,"1011 N JEFFERSON ST","OSSIAN","IN",46777,"1011 N Jefferson St, Ossian, IN 46777","IN"
"141",865,"290 INDUSTRIAL DR","LIBERTY","Liberty,",64068,"Liberty, MO 64068","KY"
"142",872,"2524 CLEVELAND HWY","DALTON","GA",30721,"2524 Cleveland Hwy, Dalton, GA 30721","GA"
"143",874,"1302 NATIONAL HWY","LAVALE","MD",21502,"1302 National Hwy, La Vale, MD 21502","MD"
"144",875,"117 PROGRESS DR","FLORA","MS",39071,"117 Progress Dr, Flora, MS 39071","MS"
"145",879,"36108 GOODWIN DR","LOCUST GROVE","VA",22508,"36108 Goodwin Dr, Locust Grove, VA 22508","VA"
"146",883,"705 N HIGH SCHOOL AVE","COLUMBUS","KS",66725,"705 N High School Ave, Columbus, KS 66725","KS"
"147",885,"19625 N 3RD STREET","CITRONELLE","AL",36522,"19625 N 3rd St, Citronelle, AL 36522","AL"
"148",888,"267 MAGNOLIA DR","RALEIGH","MS",39153,"267 Magnolia Dr, Raleigh, MS 39153","MS"
"149",889,"3403 CAMARGO RD","MOUNT STERLING","KY",40353,"3403 Camargo Rd, Mt Sterling, KY 40353","KY"
"150",895,"31 TSC DRIVE","DAWSONVILLE","GA",30534,"31 Tsc Dr, Dawsonville, GA 30534","GA"
"151",901,"316 2ND AVE","GALLIPOLIS","OH",45631,"316 2nd Ave, Gallipolis, OH 45631","OH"
"152",909,"237 MAIN ST","HINTON","WV",25951,"237 Main St, Hinton, WV 25951","WV"
"153",914,"920 E MAIN ST","MANNINGTON","WV",26582,"920 E Main St, Mannington, WV 26582","WV"
"154",915,"800 SENECA TRAIL N","MARLINTON","WV",24954,"800 Seneca Trail, Marlinton, WV 24954","WV"
"155",917,"5936 HIGHWAY 167 N","WINNFIELD","LA",71483,"5936 Highway 167 N, Winnfield, LA 71483","LA"
"156",922,"1399 APPALACHIAN HWY","PINEVILLE","WV",24874,"1399 Appalachian Hwy, Pineville, WV 24874","KY"
"157",926,"1405 S MAIN ST","POPLARVILLE","MS",39470,"1405 S Main St, Poplarville, MS 39470","MS"
"158",933,"90 MCGINNIS DR","WAYNE","WV",25570,"90 McGinnis Dr, Wayne, WV 25570","WV"
"159",934,"259 MAIN ST","WEBSTER SPRINGS","WV",26288,"259 S Main St, Webster Springs, WV 26288","WV"
"160",940,"302 STANFORD ST","LANCASTER","KY",40444,"302 Stanford St, Lancaster, KY 40444","PA"
"161",948,"804 COLLINS RD","TOCCOA","GA",30577,"804 Collins Rd, Toccoa, GA 30577","GA"
"162",951,"10601 NEW GEORGES CREEK R","FROSTBURG","MD",21532,"10601 New Georges Creek Rd SW, Frostburg, MD 21532","MD"
"163",957,"409 S HOME ST","CORRIGAN","TX",75939,"409 S Home St, Corrigan, TX 75939","TX"
"164",964,"600 S JEFFERSON ST","ATHENS","AL",35611,"600 S Jefferson St, Athens, AL 35611","AL"
"165",974,"28390 US HWY 23","SOUTH SHORE","KY",41175,"28390 US-23, South Shore, KY 41175","KY"
"166",982,"1000 N TRAVIS ST STE H","SHERMAN","TX",75090,"1000 N Travis St, Sherman, TX 75090","TX"
"167",983,"9580 HIGHWAY 641 N","PURYEAR","TN",38251,"9580 Highway 641 N, Puryear, TN 38251","TN"
"168",994,"22081 STATE ROUTE 51 W","GENOA","OH",43430,"22081 OH-51, Genoa, OH 43430","OH"
"169",1000,"8315 HWY 22","MAPLESVILLE","AL",36750,"8315 AL-22, Maplesville, AL 36750","AL"
"170",1014,"15145 HIGHWAY 57","MOSCOW","TN",38057,"15145 TN-57, Moscow, TN 38057","TN"
"171",1019,"1352 NORTH BROWN AVE","MINDEN","NE",68959,"1352 N Brown Ave, Minden, NE 68959","NE"
"172",1021,"2011 SE BROAD ST","MURFREESBORO","TN",37130,"2011 SE Broad St, Murfreesboro, TN 37130","TN"
"173",1025,"6010 BETHELVIEW RD","CUMMING","GA",30040,"6010 Bethelview Rd, Cumming, GA 30040","GA"
"174",1043,"358 LEWISVILLE RD","WOODSFIELD","OH",43793,"358 Lewisville Rd, Woodsfield, OH 43793","OH"
"175",1045,"5744 W MAIN ST","HOUMA","LA",70360,"5744 W Main St, Houma, LA 70360","LA"
"176",1046,"400 HILL ST","ELLISVILLE","MS",39437,"400 Hill St, Ellisville, MS 39437","MS"
"177",1052,"2330 W BAKER STREET","PLANT CITY","FL",33563,"2330 W Baker St, Plant City, FL 33563","FL"
